Nr,Group,Position,Locus,K*,Df,Signif.,Nr inf.,Meanrank-ac,Mean-ac,Nr-ac,Meanrank-ad,Mean-ad,Nr-ad,Meanrank-bc,Mean-bc,Nr-bc,Meanrank-bd,Mean-bd,Nr-bd,Meanrank-ee,Mean-ee,Nr-ee,Meanrank-ef,Mean-ef,Nr-ef,Meanrank-eg,Mean-eg,Nr-eg,Meanrank-fg,Mean-fg,Nr-fg,Meanrank-hh,Mean-hh,Nr-hh,Meanrank-hk,Mean-hk,Nr-hk,Meanrank-kk,Mean-kk,Nr-kk,Meanrank-h-,Mean-h-,Nr-h-,Meanrank-k-,Mean-k-,Nr-k-,Meanrank-ll,Mean-ll,Nr-ll,Meanrank-lm,Mean-lm,Nr-lm,Meanrank-nn,Mean-nn,Nr-nn,Meanrank-np,Mean-np,Nr-np
34,LG12,53.351,HY_sc12_4981084,0.673,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28,0.841379,29,25.8,0.754167,24,,,0,,,0
35,LG12,55.844,S8_12021810,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.753846,26,28.7,0.848148,27,,,0,,,0
36,LG12,55.844,HY_sc12_7680401,1.502,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.3,0.753846,26,28.7,0.848148,27,,,0,,,0
37,LG12,61.578,HY_sc30_72211597,0.3,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.824242,33,26,0.765,20,,,0,,,0
38,LG12,63.86,S12_4587521,0.909,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.1,0.829032,31,25.4,0.763636,22,,,0,,,0
39,LG12,64.983,HY_sc12_8196391,1.179,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.83125,32,25.1,0.757143,21,,,0,,,0
40,LG12,72.315,HY_sc12_9387332,4.502,1,**     ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.7,0.857576,33,22.6,0.7,19,,,0,,,0
41,LG12,74.17,HY_sc12_9494175,4.091,1,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.2,0.857576,33,23.4,0.71,20,,,0,,,0
42,LG12,75.137,S20_13981933,3.531,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.1,0.85625,32,23.8,0.719048,21,,,0,,,0
43,LG12,75.511,S12_3504915,3.031,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.1,0.727273,22,29,0.854839,31,,,0,,,0
44,LG12,77.174,HY_sc12_9150453,4.091,1,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.2,0.857576,33,23.4,0.71,20,,,0,,,0
45,LG12,79.442,ab12_3128909,3.031,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.1,0.727273,22,29,0.854839,31,,,0,,,0
46,LG12,80.888,HY_sc30_96856193,5.713,1,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,23.2,0.7,23,29.9,0.88,30,,,0,,,0
47,LG12,81.412,S12_2272525,3.031,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.1,0.727273,22,29,0.854839,31,,,0,,,0
48,LG12,82.219,S12_3129132,2.583,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.5,0.734783,23,28.9,0.853333,30,,,0,,,0
49,LG12,83.62,HY_sc12_10053402,1.823,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25,0.748,25,28.8,0.85,28,,,0,,,0
50,LG12,84.715,HY_sc30_97012718,3.793,1,*      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,23.7,0.736,25,29.1,0.859259,27,,,0,,,0
51,LG12,87.765,HY_sc12_10986283,0.035,1,-      ,51,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.2,0.8,30,25.7,0.795238,21,,,0,,,0
52,LG12,92.673,S14_12980756,1.466,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.9,0.733333,21,28.4,0.846875,32,,,0,,,0
53,LG12,92.673,HY_sc12_12253959,1.466,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.9,0.733333,21,28.4,0.846875,32,,,0,,,0
54,LG12,98.453,HY_sc12_12527188,3.531,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.1,0.85625,32,23.8,0.719048,21,,,0,,,0
55,LG12,98.453,S12_440083,3.531,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.1,0.85625,32,23.8,0.719048,21,,,0,,,0
56,LG12,101.988,HY_sc12_12823313,4.718,1,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,23,0.7,19,29.2,0.858824,34,,,0,,,0
57,LG12,101.988,S12_135325,4.718,1,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,23,0.7,19,29.2,0.858824,34,,,0,,,0
58,LG12,104.707,S12_931432,1.237,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28,0.832432,37,24.7,0.73125,16,,,0,,,0
59,LG27a,0,S24_5184370,0.018,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.1,0.797297,37,26.7,0.8125,16,,,0,,,0
60,LG27a,0,ab24_5184372,0.018,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.1,0.797297,37,26.7,0.8125,16,,,0,,,0
61,LG27a,4.046,HY_sc24_6949216,0.017,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.9,0.791429,35,27.2,0.822222,18,,,0,,,0
62,LG27a,7.382,S27_13281741,1.857,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.5,0.742105,19,28.4,0.835294,34,,,0,,,0,,,0,,,0,,,0,,,0,,,0
63,LG27a,7.882,HY_sc22_3105195,2.365,1,-      ,50,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27,0.825,32,22.8,0.761111,18,,,0,,,0
64,LG27a,11.961,HY_sc27_5173690,7.376,2,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,22.5,0.688889,18,30.6,0.888889,27,24.9,0.7625,8,,,0,,,0,,,0,,,0,,,0,,,0
65,LG27a,19.983,S27_8172507,7.74,1,***    ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,30.6,0.889286,28,22.9,0.704,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0
66,LG27a,19.983,S27_8172516,7.74,1,***    ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,30.6,0.889286,28,22.9,0.704,25,,,0,,,0,,,0,,,0,,,0,,,0,,,0
67,LG27a,20.481,HY_sc27_5480427,7.943,2,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.8,0.878571,14,22.9,0.704,25,31.5,0.9,14,,,0,,,0,,,0,,,0,,,0,,,0
68,LG27a,20.481,HY_sc27_5480392,7.943,2,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.8,0.878571,14,22.9,0.704,25,31.5,0.9,14,,,0,,,0,,,0,,,0,,,0,,,0
69,LG27a,25.173,HY_sc17_7871577,0.042,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.3,0.812,25,26.7,0.792857,28,,,0,,,0
70,LG27a,26.407,S27_9768078,0.007,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.1,0.808333,24,26.9,0.796552,29,,,0,,,0
71,LG27a,29.703,S27_11028709,2.292,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25,0.771429,28,29.2,0.836,25,,,0,,,0
72,LG27a,32.114,S27_7881452,5.28,1,**     ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.1,0.731034,29,30.5,0.8875,24,,,0,,,0,,,0,,,0,,,0,,,0,,,0
73,LG27a,33.419,HY_sc27_1820098,1.217,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.4,0.773077,26,28.5,0.82963,27,,,0,,,0
74,LG27a,35.937,S27_13615973,0.33,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.1,0.795833,24,27.7,0.806897,29,,,0,,,0
75,LG27a,36.992,HY_sc30_15539871,3.724,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,22.8,0.716667,12,26.9,0.7875,24,30.1,0.882353,17,,,0,,,0,,,0,,,0,,,0,,,0
76,LG27a,37.411,HY_sc30_15540015,3.548,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,22.8,0.716667,12,27.1,0.792,25,30,0.88125,16,,,0,,,0,,,0,,,0,,,0,,,0
77,LG27a,37.649,S27_13421679,0.491,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.9,0.81,30,25.9,0.791304,23,,,0,,,0
78,LG27a,37.649,HY_sc30_15398367,0.491,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.9,0.81,30,25.9,0.791304,23,,,0,,,0
79,LG27a,39.72,HY_sc30_102863974,1.405,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.4,0.7,12,27.2,0.816667,30,29.3,0.872727,11,,,0,,,0,,,0,,,0,,,0,,,0
80,LG27a,44.301,S27_12562187,0.922,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.1,0.815625,32,25.4,0.780952,21,,,0,,,0
81,LG27a,44.301,HY_sc30_16301141,0.922,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.1,0.815625,32,25.4,0.780952,21,,,0,,,0
82,LG27a,46.206,HY_sc27_3027853,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.818182,33,25.1,0.775,20,,,0,,,0
83,LG27a,46.206,S27_19480260,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.818182,33,25.1,0.775,20,,,0,,,0
84,LG27a,46.206,S27_12139364,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.818182,33,25.1,0.775,20,,,0,,,0
85,LG27a,46.206,HY_sc22_3579058,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.818182,33,25.1,0.775,20,,,0,,,0
86,LG27a,46.206,S12_10317957,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.818182,33,25.1,0.775,20,,,0,,,0
87,LG27a,49.914,HY_sc22_3732342,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.1,0.775,20,28.2,0.818182,33,,,0,,,0
88,LG27a,49.914,HY_sc22_2533597,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.818182,33,25.1,0.775,20,,,0,,,0
89,LG27a,49.914,S27_14097429,1.2,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.818182,33,25.1,0.775,20,,,0,,,0
90,LG27a,49.966,HY_sc30_37705708,1.401,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,24.3,0.768421,19,27.7,0.818182,33,,,0,,,0
91,LG27a,49.987,HY_sc22_2958335,0.649,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.8,0.74,15,26.9,0.810714,28,29.1,0.87,10,,,0,,,0,,,0,,,0,,,0,,,0
92,LG27a,50.793,HY_sc30_122257572,1.004,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.5,0.875,12,26.5,0.803846,26,25.8,0.74,15,,,0,,,0,,,0,,,0,,,0,,,0
93,LG27a,51.255,HY_sc30_31328151,0.822,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25,0.780952,21,27.5,0.812903,31,,,0,,,0
94,LG27a,51.255,HY_sc30_44703467,0.822,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25,0.780952,21,27.5,0.812903,31,,,0,,,0
95,LG27a,51.778,HY_sc30_31555934,0.922,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.4,0.780952,21,28.1,0.815625,32,,,0,,,0
96,LG27a,51.885,HY_sc22_2958408,0.747,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.3,0.872727,11,26.5,0.803846,26,26.2,0.75,16,,,0,,,0,,,0,,,0,,,0,,,0
97,LG27a,53.017,HY_sc22_3401952,0.181,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.4,0.797059,34,26.2,0.810526,19,,,0,,,0
98,LG27a,53.019,HY_sc27_57898,1.232,2,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.1,0.741176,17,27.3,0.812,25,29.3,0.872727,11,,,0,,,0,,,0,,,0,,,0,,,0
99,LG27a,55.441,HY_sc30_31523321,0.414,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.5,0.791304,23,27.3,0.806897,29,,,0,,,0
100,LG27a,57.008,HY_sc30_138325746,0.13,1,-      ,51,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.5,0.8,22,26.4,0.806897,29,,,0,,,0
101,LG27a,61.663,HY_sc30_72128492,0.07,1,-      ,52,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.1,0.803846,26,26.9,0.796154,26,,,0,,,0
102,LG27a,64.148,HY_sc30_44618846,0.107,1,-      ,51,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.5,0.8,25,26.4,0.796154,26,,,0,,,0
103,LG27a,65.933,S25_1213917,0.733,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.3,0.872727,11,26.4,0.783333,42,,,0,,,0,,,0,,,0,,,0,,,0,,,0
104,LG27a,65.933,ab25_1213898,0.733,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29.3,0.872727,11,26.4,0.783333,42,,,0,,,0,,,0,,,0,,,0,,,0,,,0
105,LG27a,76.111,S27_19652346,0.3,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,27.6,0.824242,33,26,0.765,20,,,0,,,0
106,LG27b,0,HY_sc27_6653078,3.595,1,*      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.842424,33,23.6,0.735,20,,,0,,,0
107,LG27b,11.07,HY_sc27_6464073,1.823,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.8,0.85,28,25,0.748,25,,,0,,,0
108,LG27b,14.091,S27_5740957,1.217,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.6,0.846154,26,25.5,0.759259,27,,,0,,,0
109,LG27b,15.162,S27_5573868,0.961,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.4,0.826923,26,25.7,0.777778,27,,,0,,,0
110,LG27b,20.429,S13_14847637,0.251,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,26.4,0.78125,32,27.9,0.833333,21,,,0,,,0
111,LG27b,20.957,HY_sc6_8084416,0.55,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,28.2,0.83913,23,26.1,0.773333,30,,,0,,,0
112,LG27b,22.89,S27_4621722,1.11,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,25.9,0.775758,33,28.9,0.845,20,,,0,,,0
113,LG27b,24.172,S27_5574112,1.367,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.847619,21,25.7,0.771875,32,,,0,,,0
114,LG27b,24.172,HY_sc27_6639800,1.367,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.847619,21,25.7,0.771875,32,,,0,,,0
115,LG27b,24.172,HY_sc27_6639798,1.367,1,-      ,53,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,,,0,29,0.847619,21,25.7,0.771875,32,,,0,,,0
