Nr,Group,Position,Locus,K*,Df,Signif.,Nr,inf.,Meanrank-ac,Mean-ac,Nr-ac,Meanrank-ad,Mean-ad,Nr-ad,Meanrank-bc,Mean-bc,Nr-bc,Meanrank-bd,Mean-bd,Nr-bd,Meanrank-ee,Mean-ee,Nr-ee,Meanrank-ef,Mean-ef,Nr-ef,Meanrank-eg,Mean-eg,Nr-eg,Meanrank-fg,Mean-fg,Nr-fg,Meanrank-hh,Mean-hh,Nr-hh,Meanrank-hk,Mean-hk,Nr-hk,Meanrank-kk,Mean-kk,Nr-kk,Meanrank-h-,Mean-h-,Nr-h-,Meanrank-k-,Mean-k-,Nr-k-,Meanrank-ll,Mean-ll,Nr-ll,Meanrank-lm,Mean-lm,Nr-lm,Meanrank-nn,Mean-nn,Nr-nn,Meanrank-np,Mean-np,Nr-np
316,LG10,7.707,S17_15952218,0.346,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.4,4.46667,30,27.8,4.69565,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,LG10,11.356,S10_2259588,0.089,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,4.53125,32,27.4,4.61905,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,LG10,12.991,S17_15952246,0.355,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,4.65625,32,26.1,4.42857,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,LG10,12.991,S17_15952216,0.355,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,4.65625,32,26.1,4.42857,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,LG10,15.784,S10_2259517,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,LG10,16.508,S10_2439258,1.371,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,4.75862,29,25.5,4.33333,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,LG10,18.664,S10_2807417,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,LG10,22.858,S10_2603913,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,LG10,22.858,S10_2603912,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,LG10,22.858,S10_2603945,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,LG10,22.858,S10_2603914,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,LG10,22.858,S10_2603921,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,LG10,22.858,S10_2603947,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,LG10,22.858,S10_2603924,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,LG10,22.858,S10_2603916,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,LG10,24.578,S10_2806889,1.145,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.2,4.75,28,25.7,4.36,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,LG10,32.187,S19_4555313,5.915,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,25,24.3,4.17857,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,LG10,33.492,S12_10945051,5.079,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,23,24.7,4.23333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,LG10,36.296,S6_8508633,5.079,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,4.23333,30,30,5,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,LG10,37.946,S18_17153119,4.015,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.2,4.30303,33,30,5,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,LG10,39.24,S8_7071511,5.915,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,25,24.3,4.17857,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,LG10,43.281,S10_11918320,5.483,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,4.2069,29,30,5,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,LG10,43.281,S10_11840391,5.483,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,24,24.5,4.2069,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,LG10,43.281,S10_12486056,5.483,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,24,24.5,4.2069,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,LG10,43.281,S10_10515019,5.483,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,24,24.5,4.2069,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,LG10,43.281,S10_12486053,5.483,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,24,24.5,4.2069,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,LG10,43.281,S10_9313946,5.483,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,24,24.5,4.2069,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,LG10,43.281,S10_8792647,5.483,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,24.5,4.2069,29,30,5,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,LG10,43.341,S10_8792723,3.38,2,-,53,0,0,0,0,0,0,0,0,30,5,14,26.9,4.53846,26,24,4.15385,13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,LG10,44.312,S10_11840653,5.079,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7,4.23333,30,30,5,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,LG10,48.91,S10_12746112,5.079,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,23,24.7,4.23333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,LG10,50.78,S10_13501083,4.702,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,22,24.9,4.25806,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,LG10,50.78,S10_13892599,4.702,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,22,24.9,4.25806,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,LG10,50.78,S10_13716798,4.702,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,4.25806,31,30,5,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,LG10,50.78,S10_13879431,4.702,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,22,24.9,4.25806,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,LG10,55.471,S10_7909233,1.932,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.75,32,25,4.28571,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,LG10,64.97,S10_13634520,0.693,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4,4.76471,17,26.3,4.47222,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,LG10,67.012,S10_13634519,0.548,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.75,16,26.4,4.48649,37,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,LG10,73.398,S17_5416502,1.541,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,10,26.3,4.46512,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,LG10,73.398,S17_5416499,1.541,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,10,26.3,4.46512,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,LG10,73.398,S17_5416475,1.541,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,10,26.3,4.46512,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1207,LG11,0,S11_105400,0.158,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,4.5,32,27.6,4.66667,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1208,LG11,1.942,S11_12645752,0.086,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,4.6,30,26.6,4.52174,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1209,LG11,9.455,S11_652413,1.932,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.75,32,25,4.28571,21,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1210,LG11,9.455,S11_652369,1.932,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4.28571,21,28.3,4.75,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1211,LG11,21.681,S11_8900147,0.361,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,4.45,20,27.5,4.63636,33,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1212,LG11,23.503,S11_1246702,1.152,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,4.375,24,28.1,4.72414,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1213,LG11,23.503,S11_1247042,1.152,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,4.72414,29,25.6,4.375,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1214,LG11,23.503,S11_1487369,1.152,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,4.375,24,28.1,4.72414,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1215,LG11,25.417,S11_1826090,0.946,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1,4.71429,28,25.8,4.4,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1216,LG11,25.417,S11_1959852,0.946,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.8,4.4,25,28.1,4.71429,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1217,LG11,36.608,ab11_4738688,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,4.44444,27,27.9,4.69231,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1218,LG11,36.608,S27_16430271,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1219,LG11,36.608,S27_16430279,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1220,LG11,36.608,S11_5784889,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1221,LG11,36.608,S11_8526974,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1222,LG11,36.608,S27_16430287,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1223,LG11,36.608,ab27_16430272,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1224,LG11,36.608,S11_8900196,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,4.44444,27,27.9,4.69231,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1225,LG11,36.608,S11_4331481,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1226,LG11,36.608,S11_8900194,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,4.44444,27,27.9,4.69231,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,LG11,36.608,S11_4738814,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1228,LG11,36.608,S11_4738828,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1229,LG11,36.608,S11_5333049,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1230,LG11,36.608,S11_6309800,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.1,4.44444,27,27.9,4.69231,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1231,LG11,36.608,S27_16430276,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1232,LG11,36.608,S27_16430280,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1233,LG11,36.608,S27_16430284,0.604,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.9,4.69231,26,26.1,4.44444,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1234,LG11,38.502,ab11_9029723,0.764,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4.7037,27,26,4.42308,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1235,LG11,38.502,S11_9029624,0.764,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4.7037,27,26,4.42308,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1236,LG11,38.502,S11_8997340,0.764,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28,4.7037,27,26,4.42308,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1237,LG11,38.502,S11_8999769,0.764,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26,4.42308,26,28,4.7037,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1238,LG11,40.191,S11_7841578,0.038,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,4.60714,28,26.8,4.52,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1239,LG11,40.191,S11_7841568,0.038,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.2,4.60714,28,26.8,4.52,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1240,LG11,44.442,S11_9515426,1.383,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,4.34783,23,28.2,4.73333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1241,LG11,52.085,S11_10677115,1.383,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,4.34783,23,28.2,4.73333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1242,LG11,52.085,S11_10677164,1.383,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,4.34783,23,28.2,4.73333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1243,LG11,52.085,S11_10677161,1.383,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,4.34783,23,28.2,4.73333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1244,LG11,54.117,S11_10854384,1.642,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.74194,31,25.2,4.31818,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1245,LG11,56.08,S11_11366770,1.932,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25,4.28571,21,28.3,4.75,32,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1246,LG11,65.745,S11_13773082,0.492,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.6,4.66667,33,25.9,4.4,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1247,LG11,68.73,S11_14237079,0.243,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,4.45455,22,27.5,4.64516,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1248,LG11,68.73,S11_14237116,0.243,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,4.64516,31,26.3,4.45455,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1249,LG11,68.73,S11_14236960,0.243,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.5,4.64516,31,26.3,4.45455,22,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1250,LG11,68.73,S11_14236944,0.243,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.3,4.45455,22,27.5,4.64516,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1251,LG11,74.991,S11_13772968,0.086,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6,4.5,24,27.3,4.62069,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1252,LG11,90.04,S15_7732530,0.09,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,26.7,4.51515,33,27.4,4.65,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,LG12,0,S12_17958469,0.154,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.4,4.63333,30,26.5,4.47826,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,LG12,1.89,S12_18060805,0.086,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,27.3,4.62069,29,26.6,4.5,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,LG12,7.728,S12_17588744,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,LG12,7.728,S12_17588755,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.76667,30,25.3,4.30435,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,LG12,7.728,ab12_17588780,1.623,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.3,4.30435,23,28.3,4.76667,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,LG12,9.059,S12_17423140,1.145,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,4.36,25,28.2,4.75,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,LG12,9.883,S12_17423047,1.371,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.5,4.33333,24,28.2,4.75862,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,LG12,11.991,S12_16946975,1.145,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.7,4.36,25,28.2,4.75,28,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,LG12,18.205,S12_14813836,2.142,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,4.34483,29,28.9,4.83333,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,LG12,18.205,S12_14813811,2.142,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,4.34483,29,28.9,4.83333,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,LG12,20.54,S12_15389764,3.417,1,*,53,0,0,0,0,0,0,0,0,0,0,0,0,0,29,4.85714,28,24.7,4.24,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,LG12,21.08,S6_8508532,2.727,1,*,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,4.2963,27,29,4.84615,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,LG12,22.476,ab12_14871098,3.058,1,*,53,0,0,0,0,0,0,0,0,0,0,0,0,0,24.9,4.26923,26,29,4.85185,27,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,LG12,24.398,S12_14594048,2.727,1,*,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,4.2963,27,29,4.84615,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,LG12,24.398,S12_14593957,2.727,1,*,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,4.2963,27,29,4.84615,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,LG12,24.398,S12_14594023,2.727,1,*,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.1,4.2963,27,29,4.84615,26,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,LG12,28.808,ab12_6628041,5.079,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,23,24.7,4.23333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,LG12,28.808,S12_6466877,5.079,1,**,53,0,0,0,0,0,0,0,0,0,0,0,0,0,30,5,23,24.7,4.23333,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,LG12,28.878,S12_11656416,2.142,1,-,53,0,0,0,0,0,0,0,0,0,0,0,0,0,25.4,4.34483,29,28.9,4.83333,24,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
